Quindalup,quindalup,2062766
Murray Bridge,murray-bridge,2065176
Mosman Park,mosman-park,2065710
Mitcham,mitcham,2157410
Kwinana,kwinana,2068079
Dwellingup,dwellingup,2072393
Cottesloe,cottesloe,2073603
Collie,collie,2074113
Charleston,charleston,2074579
Cardup,cardup,2074927
Capel,capel,2075008
Balaklava,balaklava,2077347
Aldgate,aldgate,2077937
Woolgoolga,woolgoolga,2143003
Wingello,wingello,2143385
Willow Grove,willow-grove,2143541
Warrandyte South,warrandyte-south,2144582
Thornlands,thornlands,2146782
Thangool,thangool,2146973
Terry Hills,terry-hills,2147035
Smithfield,smithfield,2061418
Sassafras,sassafras,2150206
Rylstone,rylstone,2150763
Rowville,rowville,2150894
Roseville,roseville,2151061
Richmond,richmond,8348109
Renmark West,renmark-west,2151735
Redfern,redfern,2151932
Quilpie,quilpie,2152257
Port Kembla,port-kembla,2152671
Pendle Hill,pendle-hill,2153496
Peak Hill,peak-hill,2153633
Panton Hill,panton-hill,2153829
Palmers Island,palmers-island,2153914
Oakey,oakey,2154656
Fitzroy North,fitzroy-north,2154962
Mulbring,mulbring,2156367
Miles,miles,2157694
Menangle,menangle,2158128
Mathoura,mathoura,2158509
Lower Plenty,lower-plenty,2159454
Little River,little-river,2159912
Leumeah,leumeah,2160299
Lake Haven,lake-haven,2160731
Kurrajong Heights,kurrajong-heights,2160931
Koah,koah,2161198
Kilmore,kilmore,2161415
Hobart,hobart,2163355
Hampton Park,hampton-park,2163990
Habana,habana,2164124
Glenreagh,glenreagh,2165214
Glen Huntly,glen-huntly,2165296
Gerringong,gerringong,2165692
Forth,forth,2166291
Eulomogo,eulomogo,2167145
Emu Plains,emu-plains,2167330
Deniliquin,deniliquin,2169068
Darnum,darnum,2169363
Darlinghurst,darlinghurst,2169378
D'Aguilar,d'aguilar,2169568
Cudal,cudal,2169837
Cringila,cringila,2169990
Coonabarabran,coonabarabran,2170540
Casino,casino,2172153
Camperdown,camperdown,2172563
Burua,burua,2172999
Bunyip,bunyip,2173194
Buccan,buccan,2173682
Broughton,broughton,2173833
Broadford,broadford,2173976
Broadbeach,broadbeach,2173977
Bittern,bittern,2175655
Barham,barham,2176862
Bankstown,bankstown,2176947
Axedale,axedale,2177417
Amamoor,amamoor,2177977
Albion,albion,2178180
Aberdare,aberdare,2178366
Kareela,kareela,2205983
East Brisbane,east-brisbane,2207258
Scarborough,scarborough,2061840
Clontarf,clontarf,7932687
Dee Why,dee-why,2208305
Palmerston,palmerston,8349170
North Narrabeen,north-narrabeen,6693769
Fortitude Valley,fortitude-valley,6943577
Medindie,medindie,6957266
Parkside,parkside,8347947
Magnetic Island,magnetic-island,7303211
Sanctuary Point,sanctuary-point,7304352
St Kilda West,st-kilda-west,8029812
Booral,booral,8219735
Galiwinku,galiwinku,8219764
Glenden,glenden,8219766
Marcoola,marcoola,8219800
Cherbourg,cherbourg,8310665
Fingal Bay,fingal-bay,8310703
Londonderry,londonderry,8310735
Yakamia,yakamia,8347737
Southside,southside,8347968
Woodberry,woodberry,8348013
Turner,turner,8348040
Brinkin,brinkin,8348079
Booie,booie,8348104
Cotswold Hills,cotswold-hills,8348130
Petrie Terrace,petrie-terrace,8348202
Sheldon,sheldon,8348213
Bowden,bowden,8348231
Brahma Lodge,brahma-lodge,8348232
Millbank,millbank,8348258
Coodanup,coodanup,8348269
Leeming,leeming,8348304
Depot Hill,depot-hill,8348325
Havenview,havenview,8348347
Rossmoyne,rossmoyne,8348410
Netherby,netherby,8348416
Canton Beach,canton-beach,8348428
Beaconsfield,beaconsfield,2176542
Double Bay,double-bay,8348524
Barlows Hill,barlows-hill,8348538
Wakerley,wakerley,8348542
Glendenning,glendenning,8348565
Connolly,connolly,8348602
Dernancourt,dernancourt,8348643
Holtze,holtze,8348673
Nunderi,nunderi,8348710
Narwee,narwee,8348724
Panania,panania,8348725
Spencer Park,spencer-park,8348744
Coral Cove,coral-cove,8348790
Annerley,annerley,8348815
Lockrose,lockrose,8348878
Dinner Plain,dinner-plain,8348911
Wandina,wandina,8348915
